SKU,Current_Item,Current_Base_Item,sku_Family,Current_Item_Overall_Status,Current_Item_Specific_Status,Current_Item_Lead_Style,Current_Item_Product_Type ,Current_Item_sku_Pricing,Current_Item_Discounted_Pricing, Current_Item_Inventory , Current_Item_Reported_Inventory , Current_Item_Min_Order_Qty ,Current_Item_Packaging_Type, Current_Item_sku_packaging_qty ,Current_Item_Shrink_wrapped_status,Current_Item_Version_Number,Current_Item_Version_Description,Frequency_Hertz,Starting_Method,Lamp_Connection , Ballast_Factor ,Maximum_Possible_Lamp_Combinations, Number_ of_Lamps ,Maximum_Voltage_Combinations, Voltage_120V , Voltage_240V , Voltage_277V, Voltage_347V,Power_factor,Power_factor_value,Dimming_Status, Length_inches , Width_inches , Height_inches , Weight_in_lbs , Lamps ,Successor_Item,Successor_Base_Item,Successor_Item_sku_Family,Substitute_Item,Substitute_Base_Item,Substitute_Item_Product_Type,Substitute_Item_Overall_Status,Substitute_Item_Specific_Status,Substitutue item sku Family,Substitute_item__Item_Lead_Style, Philips_Advance , GE ,Osram,Univeral,Fulham,Keystone,Howard,Sola,Hatch,Halco,Radionic,Epsen,Interglobal,Sunpark,Accupro,Valmont,TCP
01527P /A,01527P /A,01527P,M10001                       ,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,1,2-Jan,1,277,N,N,Y,N,Normal,,N,3.25,1.5,1.94,1.03,"CFQ13W/GX23, CFQ26W/G24D, CFT13W/GX23, CFTR26W/GX24D",01527P AM,01527P,P10104,,,,,,,,VLO-13-TP,,,,,,,,,,C135-27,,,,,,
04827P /A,04827P /A,04827P,M10002,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,0.95,1,1,277,N,N,Y,N,Normal,,N,2.81,1.28,1.63,0.61,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23, F4T5, F6T5, F8T5",04827P AM,04827P,P10072,,,,,,,,,,,,,,,,,,C468B-27TP,,,,,,
3M10004                       ,HP226SP /A,HP226SP,M10004                       ,Discontinued,Limited,Leaded,Magnetic,$72.95 ,,10,10,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,120,Y,N,N,N,High,,N,6.56,2.38,1.69,3,"CFQ26W/G24D, CFTR26W/GX24D",HP226SP AM,HP226SP,P10085,,,,,,,,H-2Q26-TP-BLS,,,,,,,,,,,,,,,,
2M10004                       ,HP226SP /A,HP226SP,M10004                       ,Discontinued,Limited,Leaded,Magnetic,$0.00 ,,1,1,,2,6,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,120,Y,N,N,N,High,,N,6.56,2.38,1.69,3,"CFQ26W/G24D, CFTR26W/GX24D",HP226SP AM,HP226SP,P10085,,,,,,,,H-2Q26-TP-BLS,,,,,,,,,,,,,,,,
SP2 /A,SP2 /A,SP2,M10005,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,,,60,Preheat,Series,0.85,1,1,120,Y,N,N,N,Normal,,N,3.06,1.25,1.72,0.61,"F14T12, F14T8, F15T12, F15T8, F18T8/24, F18T8/26, F18T8/28, F18T8/30, F20T12",SP2 AM,SP2,P10129,,,,,,,,"LC-14-20-C,  LC1420C",GEM120PH120DIY,,,,CC1322TP,,,,,CU452,CUSP452,,,,,
VT235         /A,VT235         /A,VT235,M10006,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,,,,DK,DK, DK ,DK, DK ,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,DK,,VT235     AM,VT235,P10133,,,,,,,,,,,,,,,,,,,,,,,,
5M10007                       ,SP258  /A,SP258,M10007,Discontinued,Limited,Leaded,Magnetic,$120.50 ,,10,10,,5,10,N,,,60,Preheat,DK,0.8,1,1,120,Y,N,N,N,Normal,,N,3.06,1.38,1.72,0.721,F25T12,SP258 AM,SP258,P10130,,,,,,,,"LC-25-TP, LC25TP",,,,,,,,,,CE125,,,,,,
3M10007                       ,SP258  /A,SP258,M10007,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,34,34,,3,1,Y,,,60,Preheat,DK,0.8,1,1,120,Y,N,N,N,Normal,,N,3.06,1.38,1.72,0.721,F25T12,SP258 AM,SP258,P10130,,,,,,,,"LC-25-TP, LC25TP",,,,,,,,,,CE125,,,,,,
1M10008                 ,S1P /A,S1P,M10008,Discontinued,Limited,Leaded,Magnetic,$745.50 ,$648.00 ,54,54,,1,60,N,1,Leads one end,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.89,"CFQ13W/GX23, CFT13W/GX23, F14T12, F14T8, F15T12, F15T8, F20T12",S1P AM,S1P,P10083,,,,,,,,LC-13-TP,,,CF1320H2P,,,,,,,,,,,,,
5M10008                ,S1P /A,S1P,M10008,Discontinued,Limited,Leaded,Magnetic,$156.95 ,,6,6,,5,10,N,1,Leads one end,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.89,"CFQ13W/GX23, CFT13W/GX23, F14T12, F14T8, F15T12, F15T8, F20T12",S1P AM,S1P,P10083,,,,,,,,LC-13-TP,,,CF1320H2P,,,,,,,,,,,,,
3M10008                       ,S1P /A,S1P,M10008,Discontinued,Limited,Leaded,Magnetic,$17.95 ,,128,128,,3,1,Y,1,Leads one end,60,Preheat,Series,0.77,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.89,"CFQ13W/GX23, CFT13W/GX23, F14T12, F14T8, F15T12, F15T8, F20T12",S1P AM,S1P,P10083,,,,,,,,LC-14-20-C,GEM120TC120DIY,,,,,,,,,A452,,,,,,
2M10009                       ,SS2RC    /A,SS2RC,M10009,Discontinued,Limited,Leaded,Magnetic,$200.95 ,,4,4,,2,10,Y,2,Leads both ends,60,Preheat Self,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.81,"F15T12, F20T12, F25T12",,,,,,,,,,,,,,,,,,,,,AS125,,,,,,
3M10009                       ,SS2RC   /A,SS2RC,M10009,Discontinued,Limited,Leaded,Magnetic,$22.95 ,,43,43,,3,1,Y,2,Leads both ends,60,Preheat Self,Series,1,1,1,120,Y,N,N,N,Normal,,N,3,1.88,1.44,0.81,"F15T12, F20T12, F25T12",,,,,,,,,,,,,,,,,,,,,AS452,,,,,,
5M10010                       ,S7927P /A,S7927P,M10010,Discontinued,Limited,Leaded,Magnetic,$161.50 ,,35,35,,5,10,N,1,Leads one end,60,Preheat,Series,0.9,1,1,277,N,N,Y,N,Normal,,N,3,1.88,1.44,0.9,"CFQ9W/G23, CFT7W/G23, CFT9W/G23",S7927P AM,S7927P,P10128,,,,,,,,VH1B9TPW,,,,,,,,,,,,,,,,
3M10010                       ,S7927P /A,S7927P,M10010,Discontinued,Limited,Leaded,Magnetic,$20.95 ,,80,80,,3,1,Y,1,Leads one end,60,Preheat,Series,1,1,1,277,N,N,Y,N,Normal,,N,3,1.88,1.44,0.9,"CFQ9W/G23, CFT7W/G23, CFT9W/G23",S7927P AM,S7927P,P10128,,,,,,,,VH1B9TPW,,,,,,,,,,,,,,,,
2M10013                       ,L6827 /A,L6827,M10013,Discontinued,Limited,Leaded,Magnetic,$200.95 ,,23,23,,2,10,Y,2,Leads both ends,60,Preheat,Series,0.95,1,1,277,N,N,Y,N,Normal,,N,5.25,1.16,0.91,0.6,"F13T5, F4T5, F6T5, F8T5",,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10013                       ,L6827 /A,L6827,M10013,Discontinued,Limited,Leaded,Magnetic,$186.95 ,,48,48,,5,10,N,2,Leads both ends,60,Preheat,Series,0.95,1,1,277,N,N,Y,N,Normal,,N,5.25,1.16,0.91,0.6,"F13T5, F4T5, F6T5, F8T5",,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10013                       ,L6827 /A,L6827,M10013,Discontinued,Limited,Leaded,Magnetic,$22.95 ,,112,112,,3,1,Y,2,Leads both ends,60,Preheat,Series,0.95,1,1,277,N,N,Y,N,Normal,,N,5.25,1.16,0.91,0.6,"F13T5, F4T5, F6T5, F8T5",,,,,,,,,,,,,,,,,,,,,,,,,,,
2M10014                       ,04827         /B,4827,M10014,Discontinued,Limited,Leaded,Magnetic,$147.95 ,,8,8,,2,10,Y,,,60,Preheat,Series,0.95,1,1,120,Y,N,N,N,Normal,,N,DK,DK,DK,DK,"F4T5, F6T5, F8T5",,,,04827P AM,04827P,Magnetic,Ongoing,Active,P10072,Leaded,,,,,,,,,,,,,,,,,
3M10014                       ,04827         /B,4827,M10014,Discontinued,Limited,Leaded,Magnetic,$16.95 ,,46,46,,3,1,Y,,,60,Preheat,Series,0.95,1,1,120,Y,N,N,N,Normal,,N,DK,DK,DK,DK,"F4T5, F6T5, F8T5",,,,04827P AM,04827P,Magnetic,Ongoing,Active,P10072,Leaded,,,,,,,,,,,,,,,,,
1M10016                       ,S18PSC /A,S18PSC,M10016,Discontinued,Limited,Leaded,Magnetic,"$1,155.50 ",,3,3,,1,42,N,2,Leads both ends,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,6.44,1.91,0.97,1.3,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10016                       ,S18PSC /A,S18PSC,M10016,Discontinued,Limited,Leaded,Magnetic,$321.95 ,,48,48,,5,10,N,2,Leads both ends,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,6.44,1.91,0.97,1.3,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10016                       ,S18PSC /A,S18PSC,M10016,Discontinued,Limited,Leaded,Magnetic,$37.95 ,,106,106,,3,1,Y,2,Leads both ends,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,6.44,1.91,0.97,1.3,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
2M10017                       ,013B1P /A,013B1P,M10017,Discontinued,Limited,Leaded,Magnetic,$139.95 ,,1,1,,2,10,Y,,,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,2.5,1.28,1.38,0.44,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,LO-13-22-TP,,,,,,,,,,,,,,,,
3M10017                       ,013B1P /A,013B1P,M10017,Discontinued,Limited,Leaded,Magnetic,$15.95 ,,73,73,,3,1,Y,,,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,2.5,1.28,1.38,0.44,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,LO-13-22-TP,,,,,,,,,,,,,,,,
2M10018                       ,013B1RC /A,013B1RC,M10018,Discontinued,Limited,Leaded,Magnetic,$156.95 ,,30,30,,2,10,Y,,,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,2.5,1.28,1.38,0.44,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,LO-13-22-TP,,,,,,,,,,,,,,,,
5M10018                       ,013B1RC /A,013B1RC,M10018,Discontinued,Limited,Leaded,Magnetic,$145.95 ,,1,1,,5,10,N,,,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,2.5,1.28,1.38,0.44,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,LO-13-22-TP,,,,,,,,,,,,,,,,
3M10018                       ,013B1RC /A,013B1RC,M10018,Discontinued,Limited,Leaded,Magnetic,$17.95 ,,54,54,,3,1,Y,,,60,Preheat,Series,0.9,1,1,120,Y,N,N,N,Normal,,N,2.5,1.28,1.38,0.44,"CFQ13W/GX23, CFT13W/GX23",,,,,,,,,,,LO-13-22-TP,,,,,,,,,,,,,,,,
015P /A,015P /A,015P,M10019                       ,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,0.95,1,1,120,Y,N,N,N,Normal,,N,2.81,1.16,1.63,0.7,"CFQ13W/GX23, CFT13W/GX23, F15T12, F15T8, F20T12",015P AM,015P,P10092,,,,,,,,"LO-13-22-TP, LC1420C",,,,,,,,,,C452,,,,,,
2M10020                       ,04827RC /A,04827RC,M10020,Discontinued,Limited,Leaded,Magnetic,$130.95 ,,7,7,,2,10,Y,,,60,Preheat,Series,1,1,1,277,N,N,Y,N,Normal,,N,2.81,1.28,1.63,0.6,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23",,,,,,,,,,,,,,,,,,,,,C468-27,,,,,,
5M10020                       ,04827RC /A,04827RC,M10020,Discontinued,Limited,Leaded,Magnetic,$119.95 ,,1,1,,5,10,N,,,60,Preheat,Series,0.85,1,1,277,N,N,Y,N,Normal,,N,2.81,1.28,1.63,0.6,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23",,,,,,,,,,,,,,,,,,,,,C468-27,,,,,,
3M10020                       ,04827RC /A,04827RC,M10020,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,36,36,,3,1,Y,,,60,Preheat,Series,0.9,1,1,277,N,N,Y,N,Normal,,N,2.81,1.28,1.63,0.6,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23",,,,,,,,,,,,,,,,,,,,,C468-27,,,,,,
2M10021                       ,048P /A,048P,M10021,Discontinued,Limited,Leaded,Magnetic,$136.95 ,,3,3,,2,10,Y,,,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.81,1,1.63,0.5,"CFT5W/G23, CFT7W/G23, CFT9W/G23, F4T5, F6T5, F8T5",048P AM,048P,P10088,,,,,,,,LPL-5-9-TP,,,,,,,,,,C108,,,,,,
5M10021                       ,048P /A,048P,M10021,Discontinued,Limited,Leaded,Magnetic,$121.95 ,,17,17,,5,10,N,,,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.81,1,1.63,0.5,"CFT5W/G23, CFT7W/G23, CFT9W/G23, F4T5, F6T5, F8T5",048P AM,048P,P10088,,,,,,,,LPL-5-9-TP,,,,,,,,,,C108,,,,,,
3M10021                       ,048P /A,048P,M10021,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,19,19,,3,1,Y,,,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.81,1,1.63,0.5,"CFT5W/G23, CFT7W/G23, CFT9W/G23, F4T5, F6T5, F8T5",048P AM,048P,P10088,,,,,,,,LPL-5-9-TP,,,,,,,,,,C108,,,,,,
1M10022                       ,0682          /B,682,M10022                       ,Discontinued,Limited,Leaded,Magnetic,$588.50 ,,6,6,,1,84,N,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,F6/8T5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10022                       ,0682          /B,682,M10022                       ,Discontinued,Limited,Leaded,Magnetic,$159.95 ,, -   , -   ,,5,10,N,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,F6/8T5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M10022                       ,0682          /B,682,M10022                       ,Discontinued,Limited,Leaded,Magnetic,$147.95 ,,8,8,,2,10,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,F6/8T5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10022                       ,0682          /B,682,M10022                       ,Discontinued,Limited,Leaded,Magnetic,$16.95 ,,41,41,,3,1,Y,,,60,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,F6/8T5,,,,,,,,,,,,,,,,,,,,,,,,,,,
0682P /A,0682P /A,0682P,M10023                       ,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.38,0.94,1.38,0.3,"CFQ9W/G23, CFT5W/G23, CFT7W/G23, CFT9W/G23, F6T5, F8T5",0682P AM,0682P,P10094,,,,,,,,LPL-5-9-TP,,,,,,,,,,C108,,,,,,
1M10032                       ,HP1527P       /A,HP1527P,M10032,Discontinued,Limited,Leaded,Magnetic,$668.50 ,,13,13,,1,24,N,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP1527P AM,HP1527P,P10106,,,,,,,,VH-1B13-TP-W,,,,,,,,,,,,,,,,
2M10032                       ,HP1527P       /A,HP1527P,M10032,Discontinued,Limited,Leaded,Magnetic,$304.95 ,,6,6,,2,10,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP1527P AM,HP1527P,P10106,,,,,,,,VH-1B13-TP-W,,,,,,,,,,,,,,,,
5M10032                       ,HP1527P       /A,HP1527P,M10032,Discontinued,Limited,Leaded,Magnetic,$297.95 ,, -   , -   ,,5,10,N,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP1527P AM,HP1527P,P10106,,,,,,,,VH-1B13-TP-W,,,,,,,,,,,,,,,,
3M10032                       ,HP1527P       /A,HP1527P,M10032,Discontinued,Limited,Leaded,Magnetic,$34.95 ,,24,24,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP1527P AM,HP1527P,P10106,,,,,,,,VH-1B13-TP-W,,,,,,,,,,,,,,,,
HP1527P /I,HP1527P /I,HP1527P,M10034                       ,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,2,Leads both ends,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP1527P IM,HP1527P,P10108,,,,,,,,VH-1B13-TP-W,,,,,,,,,,,,,,,,
2M10035                       ,HP1527P       /J,HP1527P       ,M10035                       ,Discontinued,Limited,Leaded,Magnetic,$304.95 ,,2,2,,2,10,Y,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,HP1527P IM,HP1527P       ,Magnetic,Ongoing,Active,P10108,Leaded,,,,,,,,,,,,,,,,,
3M10035                       ,HP1527P       /J,HP1527P       ,M10035                       ,Discontinued,Limited,Leaded,Magnetic,$34.95 ,,19,19,,3,1,Y,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,HP1527P IM,HP1527P       ,Magnetic,Ongoing,Active,P10108,Leaded,,,,,,,,,,,,,,,,,
3M10036                       ,HP1827P /A,HP1827P,M10036                       ,Discontinued,Limited,Leaded,Magnetic,$29.95 ,,7,7,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.95,"CFQ18W/G24D, CFTR18W/GX24D",HP1827P AM,HP1827P,P10109,,,,,,,,VH1Q18TPW,,,,,,,,,,,,,,,,
2M10036                       ,HP1827P /A,HP1827P,M10036                       ,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,, -   , -   ,,2,10,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.95,"CFQ18W/G24D, CFTR18W/GX24D",HP1827P AM,HP1827P,P10109,,,,,,,,VH1Q18TPW,,,,,,,,,,,,,,,,
5M10037                       ,HP1827P /C,HP1827P,M10037                       ,Discontinued,Limited,Leaded,Magnetic,$300.95 ,,1,1,,5,10,N,2,Leads both ends,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.95,"CFQ18W/G24D, CFTR18W/GX24D",HP1827P CM,HP1827P,P10110,,,,,,,,VH1Q18TPW,,,,,,,,,,,,,,,,
2M10037                       ,HP1827P /C,HP1827P,M10037                       ,Discontinued,Limited,Leaded,Magnetic,$0.00 ,,8,8,,2,10,Y,2,Leads both ends,60,Preheat,Series,1,1,1,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.95,"CFQ18W/G24D, CFTR18W/GX24D",HP1827P CM,HP1827P,P10110,,,,,,,,VH1Q18TPW,,,,,,,,,,,,,,,,
2M10038                       ,HP1827P       /F,HP1827P ,M10038,Discontinued,Limited,Leaded,Magnetic,$311.95 ,,21,21,,2,10,Y,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,HP1827P CM,HP1827P,Magnetic,Ongoing,Active,P10110,Leaded,,,,,,,,,,,,,,,,,
5M10038                       ,HP1827P       /F,HP1827P ,M10038,Discontinued,Limited,Leaded,Magnetic,$300.95 ,,3,3,,5,10,N,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,HP1827P CM,HP1827P,Magnetic,Ongoing,Active,P10110,Leaded,,,,,,,,,,,,,,,,,
3M10038                       ,HP1827P       /F,HP1827P ,M10038,Discontinued,Limited,Leaded,Magnetic,$36.95 ,,33,33,,3,1,Y,3,Bottom leads (center),60,,,,,,,,,,,High,,,,,,,,,,,HP1827P CM,HP1827P,Magnetic,Ongoing,Active,P10110,Leaded,,,,,,,,,,,,,,,,,
2M10039                       ,HP18P /A,HP18P,M10039,Discontinued,Limited,Leaded,Magnetic,$302.95 ,,3,3,,2,6,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10039                       ,HP18P /A,HP18P,M10039,Discontinued,Limited,Leaded,Magnetic,$302.95 ,,8,8,,5,6,N,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10039                       ,HP18P /A,HP18P,M10039,Discontinued,Limited,Leaded,Magnetic,$57.95 ,,68,68,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,,,,,,,,,,,,,,
2M10040                       ,HP18P /B,HP18P,M10040,Discontinued,Limited,Leaded,Magnetic,$302.95 ,,7,7,,2,6,Y,2,Leads both ends,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,4111,,,,,,,,,,,,,
5M10040                       ,HP18P /B,HP18P,M10040,Discontinued,Limited,Leaded,Magnetic,$301.95 ,,14,14,,5,6,N,2,Leads both ends,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,4111,,,,,,,,,,,,,
3M10040                       ,HP18P /B,HP18P,M10040,Discontinued,Limited,Leaded,Magnetic,$57.95 ,,36,36,,3,1,Y,2,Leads both ends,60,Preheat,Series,1,1,1,120,Y,N,N,N,High,,N,6.56,2.38,1.69,1.95,"CFQ18W/G24D, CFTR18W/GX24D",,,,,,,,,,,,,,4111,,,,,,,,,,,,,
1M10041                       ,HP21327SP /A,HP21327SP,M10041,Discontinued,Limited,Leaded,Magnetic,$658.50 ,,8,8,,1,24,N,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP21327SP AM,HP21327SP,P10111,,,,,,,,VH-2B13-TP-BLS,,,,,,,,,,,,,,,,
2M10041                       ,HP21327SP /A,HP21327SP,M10041,Discontinued,Limited,Leaded,Magnetic,$313.95 ,,10,10,,2,10,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP21327SP AM,HP21327SP,P10111,,,,,,,,VH-2B13-TP-BLS,,,,,,,,,,,,,,,,
5M10041                       ,HP21327SP /A,HP21327SP,M10041,Discontinued,Limited,Leaded,Magnetic,$301.95 ,,8,8,,5,10,N,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP21327SP AM,HP21327SP,P10111,,,,,,,,VH-2B13-TP-BLS,,,,,,,,,,,,,,,,
3M10041                       ,HP21327SP /A,HP21327SP,M10041,Discontinued,Limited,Leaded,Magnetic,$35.95 ,,57,57,,3,1,Y,4,Bottom leads (center)/2-studs,60,Preheat,Series,0.9,2,2,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",HP21327SP AM,HP21327SP,P10111,,,,,,,,VH-2B13-TP-BLS,,,,,,,,,,,,,,,,
3M10042                       ,HP21327SP /D,HP21327SP,M10042,Discontinued,Limited,Leaded,Magnetic,$35.95 ,,26,26,,3,1,Y,3,Bottom leads (center),60,Preheat,Series,0.9,2,2,277,N,N,Y,N,High,,N,4.75,2.19,1.63,1.6,"CFQ13W/GX23, CFT13W/GX23",,,,HP21327SP CM,HP21327SP,Magnetic,Ongoing,Active,P10112,Leaded,"VH-2B13-TP-BLS,  VH2B13TPW",,,,,,,,,,,,,,,,
HP213P /A,HP213P /A,HP213P,M10044                       ,Discontinued,Unavailable,Leaded,Magnetic,$0.00 ,,,,,,,,4,Bottom leads (center)/2-studs,60,Preheat,Parallel,0.9,2,2,120,Y,N,N,N,High,,N,4.75,2.19,1.63,1.44/1.51,"CFQ13W/GX23, CFT13W/GX23",HP213P AM,HP213P,P10073,,,,,,,,"H-2B13-TP-BLS, H2B13TPW",,,,,CF-213S-1-HP-TP,,,,,,,,,,,
3M10045                       ,HP213P /B,HP213P,M10045,Discontinued,Limited,Leaded,Magnetic,$45.95 ,,19,19,,3,1,Y,2,Leads both ends,60,Preheat,Parallel,0.9,2,2,120,Y,N,N,N,High,,N,4.75,2.19,1.63,1.44/1.51,"CFQ13W/GX23, CFT13W/GX23",HP213P BM,HP213P,P10074,,,,,,,,H-2B13-TP-BLS,,,,,CF-213S-1-HP-TP,,,,,,,,,,,
1M10046                       ,HP21827P /A,HP21827P,M10046,Discontinued,Limited,Leaded,Magnetic,$617.40 ,$481.25 ,9,9,,1,15,N,4,Bottom leads (center)/2-studs,60,Preheat,DK,0.9,2,2,277,N,N,Y,N,High,,N,6.56,2.38,1.69,2.3,"CFQ18W/24D, CFTR18W/GX24D",,,,,,,,,,,VH2Q18PTW,,,,,,,,,,,,,,,,
2M10046                       ,HP21827P /A,HP21827P,M10046,Discontinued,Limited,Leaded,Magnetic,$255.95 ,,10,10,,2,6,Y,4,Bottom leads (center)/2-studs,60,Preheat,DK,0.9,2,2,277,N,N,Y,N,High,,N,6.56,2.38,1.69,2.3,"CFQ18W/24D, CFTR18W/GX24D",,,,,,,,,,,VH2Q18PTW,,,,,,,,,,,,,,,,
5M10046                       ,HP21827P /A,HP21827P,M10046,Discontinued,Limited,Leaded,Magnetic,$246.95 ,,47,47,,5,6,N,4,Bottom leads (center)/2-studs,60,Preheat,DK,0.9,2,2,277,N,N,Y,N,High,,N,6.56,2.38,1.69,2.3,"CFQ18W/24D, CFTR18W/GX24D",,,,,,,,,,,VH2Q18PTW,,,,,,,,,,,,,,,,
