SKU,Current_Item,Current_Base_Item,sku_Family,Current_Item_Overall_Status,Current_Item_Specific_Status,Current_Item_Lead_Style,Current_Item_Product_Type ,Current_Item_sku_Pricing,Current_Item_Discounted_Pricing, Current_Item_Inventory , Current_Item_Reported_Inventory , Current_Item_Min_Order_Qty ,Current_Item_Packaging_Type, Current_Item_sku_packaging_qty ,Current_Item_Shrink_wrapped_status,Current_Item_Version_Number,Current_Item_Version_Description,Frequency_Hertz,Starting_Method,Lamp_Connection , Ballast_Factor ,Maximum_Possible_Lamp_Combinations, Number_ of_Lamps ,Maximum_Voltage_Combinations, Voltage_120V , Voltage_240V , Voltage_277V, Voltage_347V,Power_factor,Power_factor_value,Dimming_Status, Length_inches , Width_inches , Height_inches , Weight_in_lbs , Lamps ,Successor_Item,Successor_Base_Item,Successor_Item_sku_Family,Substitute_Item,Substitute_Base_Item,Substitute_Item_Product_Type,Substitute_Item_Overall_Status,Substitute_Item_Specific_Status,Substitutue item sku Family,Substitute_item__Item_Lead_Style, Philips_Advance , GE ,Osram,Univeral,Fulham,Keystone,Howard,Sola,Hatch,Halco,Radionic,Epsen,Interglobal,Sunpark,Accupro,Valmont,TCP
5M10551,01535B1       /A,01535B1       ,M10551,Discontinued,Limited,Leaded,Magnetic,$172.95 ,,3,3,,5,10,N,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10551,01535B1       /A,01535B1       ,M10551,Discontinued,Limited,Leaded,Magnetic,$21.95 ,,13,13,,3,1,Y,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10552,01535P        /A,01535P        ,M10552,Discontinued,Limited,Leaded,Magnetic,$34.95 ,,21,21,,3,1,Y,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10553,015NF         /A,015NF         ,M10553,Discontinued,Limited,Leaded,Magnetic,$15.95 ,,5,5,,3,1,Y,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015NF         /J,015NF         /J,015NF         ,M10554,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015PB1        /B,015PB1        /B,015PB1        ,M10555,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
015S25        /A,015S25        /A,015S25        ,M10556,Discontinued,Unavailable,Leaded,Magnetic,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10557,022FMRC       /A,022FMRC       ,M10557,Discontinued,Limited,Leaded,Magnetic,$17.95 ,,12,12,,3,1,Y,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10558,022RC         /A,022RC         ,M10558,Discontinued,Limited,Leaded,Magnetic,$15.95 ,,28,28,,3,1,Y,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10559,02535         /A,2535,M10559,Discontinued,Limited,Leaded,Magnetic,$26.95 ,,24,24,,3,1,Y,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10560,02GTL3        /A,02GTL3        ,M10560,Discontinued,Limited,Leaded,Magnetic,$109.95 ,,3,3,,5,10,N,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3M10560,02GTL3        /A,02GTL3        ,M10560,Discontinued,Limited,Leaded,Magnetic,$14.95 ,,20,20,,3,1,Y,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5M10561,048/A,48,M10561,Discontinued,Limited,Leaded,Magnetic,$79.95 ,, -   , -   ,,5,10,N,,,,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.81,1,1.63,0.46,"F4T5, F6T5, F8T5",048           AM,48,P10087,,,,,,,,LPL-5-9,,,,,,,,,,C108,,,,,,
3M10561,048/A,48,M10561,Discontinued,Limited,Leaded,Magnetic,$12.95 ,,22,22,,3,1,Y,,,,Preheat,Series,1,1,1,120,Y,N,N,N,Normal,,N,2.81,1,1.63,0.46,"F4T5, F6T5, F8T5",048           AM,48,P10087,,,,,,,,LPL-5-9,,,,,,,,,,C108,,,,,,
3M10562,04825         /A,4825,M10562,Discontinued,Limited,Leaded,Magnetic,$17.95 ,,48,48,,3,1,Y,,,50,Preheat,Series,,1,1,120,Y,N,N,N,Normal,,N,,,,,9TT-2P,,,,,,,,,,,,,,,,,,,,,,,,,,,
